Name,SKU,Barcode,Description,Category,Brand,Unit,Supplier,Cost Price,Selling Price,MRP,Quantity,Reorder Level,Max Stock Level,Location,GST Rate,Active
Mother Dairy Product Premium 1L - W8KJ,PRO-MOTHER-018218335,8909731366829,Quality Mother Dairy Product Premium 1L - W8KJ from Mother Dairy. Trusted by Indian families.,Produce,Mother Dairy,Box,Pune Organic Supplies,50,72,79,56,20,100,,5,Yes
Everest Product 500g - QZQQ,PRO-EVER-018257577,8901596937370,Premium Everest Product 500g - QZQQ with excellent quality and taste.,Produce,Everest,Kilogram,Ahmedabad Snack Mills,30,43,47,88,20,100,,5,Yes
Nestle Product Natural 1kg - HB5W,PRO-NEST-018290375,8904042043851,Premium Nestle Product Natural 1kg - HB5W with excellent quality and taste.,Produce,Nestle,Gram,Kolkata Trading Company,31,44,48,56,20,100,,5,Yes
Tata Sampann Product Natural 500g - C1FP,PRO-TATAS-018324458,8909221166841,Quality Tata Sampann Product Natural 500g - C1FP from Tata Sampann. Trusted by Indian families.,Produce,Tata Sampann,Box,Bangalore Fresh Produce,56,80,88,75,20,100,,5,Yes
Nestle Product Fresh 500g - 7AWN,PRO-NEST-018360810,8905033739377,Fresh Nestle Product Fresh 500g - 7AWN at best prices. Perfect for daily use.,Produce,Nestle,Pieces,Ahmedabad Snack Mills,31,44,48,-2,20,100,,5,Yes
Everest Product 250g - GR9O,PRO-EVER-018395538,8909017259756,Fresh Everest Product 250g - GR9O at best prices. Perfect for daily use.,Produce,Everest,Kilogram,Chennai Spice House,44,63,69,83,20,100,,5,Yes
Coca Cola Product Super 1L - 9UPT,PRO-COKE-018432361,8906701496343,Premium Coca Cola Product Super 1L - 9UPT with excellent quality and taste.,Produce,Coca Cola,Box,Mumbai FMCG Distributors,53,75,83,83,20,100,,5,Yes
Unilever Product Economy - JUKW,PRO-UNIL-018469656,8908435321783,Quality Unilever Product Economy - JUKW from Unilever. Trusted by Indian families.,Produce,Unilever,Pack,Mumbai FMCG Distributors,46,66,73,92,20,100,,5,Yes
Patanjali Product Special - HGUO,PRO-PATAN-018508112,8902659433071,Premium Patanjali Product Special - HGUO with excellent quality and taste.,Produce,Patanjali,Dozen,Hyderabad Dairy Co-op,33,47,52,16,20,100,,5,Yes
Whiskas Product Classic Pack of 5 - VM0Q,PRO-WHISK-018544782,8902671488426,Fresh Whiskas Product Classic Pack of 5 - VM0Q at best prices. Perfect for daily use.,Produce,Whiskas,Pack,Mumbai FMCG Distributors,50,71,78,74,20,100,,5,Yes
Everest Product Fresh 200ml - CJPM,PRO-EVER-018578352,8908941797857,Quality Everest Product Fresh 200ml - CJPM from Everest. Trusted by Indian families.,Produce,Everest,Gram,Hyderabad Dairy Co-op,41,59,65,30,20,100,,5,Yes
Whiskas Product Deluxe 1kg - 0RXA,PRO-WHISK-018610439,8904914020557,Fresh Whiskas Product Deluxe 1kg - 0RXA at best prices. Perfect for daily use.,Produce,Whiskas,Pieces,Mumbai FMCG Distributors,31,44,48,67,20,100,,5,Yes
Britannia Product Fresh 1L - YVKG,PRO-BRIT-018647339,8902803514482,Fresh Britannia Product Fresh 1L - YVKG at best prices. Perfect for daily use.,Produce,Britannia,Pack,Hyderabad Dairy Co-op,33,47,52,83,20,100,,5,Yes
Fortune Product Fresh - GZPJ,PRO-FORT-018694178,8904981085667,Quality Fortune Product Fresh - GZPJ from Fortune. Trusted by Indian families.,Produce,Fortune,Pieces,Bangalore Fresh Produce,33,47,52,49,20,100,,5,Yes
Procter & Gamble Product Fresh Pack of 2 - ILHM,PRO-PG-018736909,8903379842442,Quality Procter & Gamble Product Fresh Pack of 2 - ILHM from Procter & Gamble. Trusted by Indian families.,Produce,Procter & Gamble,Kilogram,Ahmedabad Snack Mills,44,63,69,42,20,100,,5,Yes
Britannia Product Organic 200ml - EPDK,PRO-BRIT-018773313,8909308165231,Fresh Britannia Product Organic 200ml - EPDK at best prices. Perfect for daily use.,Produce,Britannia,Pack,Hyderabad Dairy Co-op,45,64,70,54,20,100,,5,Yes
MTR Product Natural Pack of 2 - 0K6X,PRO-MTR-018811554,8906354591714,Fresh MTR Product Natural Pack of 2 - 0K6X at best prices. Perfect for daily use.,Produce,MTR,Pack,Mumbai FMCG Distributors,30,43,47,56,20,100,,5,Yes
Dabur Product Fresh 500ml - B70W,PRO-DABUR-018847745,8901888955540,Quality Dabur Product Fresh 500ml - B70W from Dabur. Trusted by Indian families.,Produce,Dabur,Gram,Hyderabad Dairy Co-op,36,52,57,18,20,100,,5,Yes
Aashirvaad Product 1L - OZDC,PRO-AASHI-018883736,8907831438916,Quality Aashirvaad Product 1L - OZDC from Aashirvaad. Trusted by Indian families.,Produce,Aashirvaad,Box,Delhi Wholesale Market,31,45,50,27,20,100,,5,Yes
Nirma Product Natural Pack of 2 - AFLR,PRO-NIRMA-018918871,8907251739218,Premium Nirma Product Natural Pack of 2 - AFLR with excellent quality and taste.,Produce,Nirma,Litre,Bangalore Fresh Produce,54,77,85,54,20,100,,5,Yes
Bikano Product Natural Pack of 2 - MVTM,PRO-BIKANO-018964457,8906184612137,Fresh Bikano Product Natural Pack of 2 - MVTM at best prices. Perfect for daily use.,Produce,Bikano,Litre,Hyderabad Dairy Co-op,47,67,74,62,20,100,,5,Yes
Unilever Product Classic 500ml - CAMQ,PRO-UNIL-018997673,8908946334827,Quality Unilever Product Classic 500ml - CAMQ from Unilever. Trusted by Indian families.,Produce,Unilever,Millilitre,Ahmedabad Snack Mills,31,45,50,15,20,100,,5,Yes
Whiskas Product Fresh 250g - ZXI4,PRO-WHISK-019035894,8903103895288,Fresh Whiskas Product Fresh 250g - ZXI4 at best prices. Perfect for daily use.,Produce,Whiskas,Dozen,Bangalore Fresh Produce,46,66,73,68,20,100,,5,Yes
Amul Product Super 250g - ECO5,PRO-AMUL-019076667,8903936257887,Premium Amul Product Super 250g - ECO5 with excellent quality and taste.,Produce,Amul,Box,Delhi Wholesale Market,59,84,92,76,20,100,,5,Yes
Everest Product Special Family Pack - QEOS,PRO-EVER-019113648,8909180480829,Quality Everest Product Special Family Pack - QEOS from Everest. Trusted by Indian families.,Produce,Everest,Litre,Pune Organic Supplies,59,84,92,50,20,100,,5,Yes
Kelloggs Product Natural 200ml - CBTJ,PRO-KELLO-019147624,8908367937112,Fresh Kelloggs Product Natural 200ml - CBTJ at best prices. Perfect for daily use.,Produce,Kelloggs,Box,Bangalore Fresh Produce,39,56,62,15,20,100,,5,Yes
Maggi Product Classic 1L - UUGR,PRO-MAGGI-019184712,8904657072797,Premium Maggi Product Classic 1L - UUGR with excellent quality and taste.,Produce,Maggi,Litre,Delhi Wholesale Market,29,42,46,76,20,100,,5,Yes
Godrej Product Economy 250g - YFMG,PRO-GODREJ-019222978,8909957640028,Quality Godrej Product Economy 250g - YFMG from Godrej. Trusted by Indian families.,Produce,Godrej,Pieces,Hyderabad Dairy Co-op,31,44,48,59,20,100,,5,Yes
Fortune Product Super Pack of 2 - ULZI,PRO-FORT-019258882,8902245455771,Premium Fortune Product Super Pack of 2 - ULZI with excellent quality and taste.,Produce,Fortune,Kilogram,Ahmedabad Snack Mills,33,47,52,51,20,100,,5,Yes
Procter & Gamble Product Fresh Family Pack - CSLP,PRO-PG-019291495,8904138672014,Premium Procter & Gamble Product Fresh Family Pack - CSLP with excellent quality and taste.,Produce,Procter & Gamble,Pack,Delhi Wholesale Market,29,42,46,84,20,100,,5,Yes
Johnson & Johnson Product - MHNL,PRO-JJ-019325847,8909724095585,Premium Johnson & Johnson Product - MHNL with excellent quality and taste.,Produce,Johnson & Johnson,Kilogram,Chennai Spice House,29,41,45,73,20,100,,5,Yes
Havells Product Economy 500g - A3Y2,PRO-HAVELL-019361332,8905818347197,Fresh Havells Product Economy 500g - A3Y2 at best prices. Perfect for daily use.,Produce,Havells,Box,Bangalore Fresh Produce,33,47,52,72,20,100,,5,Yes
Haldiram Product Organic 250g - KUHQ,PRO-HALDI-019398551,8903145440887,Fresh Haldiram Product Organic 250g - KUHQ at best prices. Perfect for daily use.,Produce,Haldiram,Pieces,Bangalore Fresh Produce,40,57,63,39,20,100,,5,Yes
Haldiram Product Natural 1L - 9GEM,PRO-HALDI-019434319,8903607231011,Premium Haldiram Product Natural 1L - 9GEM with excellent quality and taste.,Produce,Haldiram,Millilitre,Chennai Spice House,29,42,46,97,20,100,,5,Yes
Fortune Product Economy 500ml - MWJT,PRO-FORT-019472472,8907404441988,Quality Fortune Product Economy 500ml - MWJT from Fortune. Trusted by Indian families.,Produce,Fortune,Pack,Chennai Spice House,35,50,55,59,20,100,,5,Yes
Tuna Premium 500g - YJXR,MEA-HAVELL-019510126,8904296945506,Premium Tuna Premium 500g - YJXR with excellent quality and taste.,Meat & Seafood,Havells,Litre,Chennai Spice House,37,53,58,9,20,100,,5,Yes
Fish Fillet Special 250g - C8RO,MEA-HAVELL-019544373,8905426070686,Premium Fish Fillet Special 250g - C8RO with excellent quality and taste.,Meat & Seafood,Havells,Dozen,Chennai Spice House,37,53,58,19,20,100,,5,Yes
Fresh Chicken Premium 1kg - V7M8,MEA-FORT-019576178,8901872832405,Quality Fresh Chicken Premium 1kg - V7M8 from Fortune. Trusted by Indian families.,Meat & Seafood,Fortune,Gram,Ahmedabad Snack Mills,34,49,54,66,20,100,,5,Yes
Prawns Economy 1L - UFCY,MEA-HALDI-019608302,8904004842480,Premium Prawns Economy 1L - UFCY with excellent quality and taste.,Meat & Seafood,Haldiram,Pack,Mumbai FMCG Distributors,46,66,73,25,20,100,,5,Yes
Chicken Legs Natural 200ml - CXJQ,MEA-MTR-019644859,8901399563227,Premium Chicken Legs Natural 200ml - CXJQ with excellent quality and taste.,Meat & Seafood,MTR,Kilogram,Kolkata Trading Company,36,52,57,152,20,100,,5,Yes
Mutton Organic 250g - GMRU,MEA-MTR-019679981,8908765943434,Premium Mutton Organic 250g - GMRU with excellent quality and taste.,Meat & Seafood,MTR,Dozen,Pune Organic Supplies,38,54,59,6,20,100,,5,Yes
Minced Meat Premium 1kg - GOHI,MEA-KELLO-019715178,8902653794098,Fresh Minced Meat Premium 1kg - GOHI at best prices. Perfect for daily use.,Meat & Seafood,Kelloggs,Kilogram,Pune Organic Supplies,40,57,63,37,20,100,,5,Yes
Minced Meat 500ml - FURA,MEA-EVER-019751112,8906233157094,Quality Minced Meat 500ml - FURA from Everest. Trusted by Indian families.,Meat & Seafood,Everest,Dozen,Delhi Wholesale Market,46,65,72,32,20,100,,5,Yes
Tuna Classic Family Pack - 7YPR,MEA-MTR-019793693,8907315951881,Quality Tuna Classic Family Pack - 7YPR from MTR. Trusted by Indian families.,Meat & Seafood,MTR,Gram,Bangalore Fresh Produce,43,62,68,5,20,100,,5,Yes
Fresh Chicken Deluxe - 2BNU,MEA-DABUR-019830913,8906837452292,Quality Fresh Chicken Deluxe - 2BNU from Dabur. Trusted by Indian families.,Meat & Seafood,Dabur,Pack,Chennai Spice House,50,72,79,67,20,100,,5,Yes
Crab Classic - 3GJD,MEA-KISSAN-019866391,8909928634997,Quality Crab Classic - 3GJD from Kissan. Trusted by Indian families.,Meat & Seafood,Kissan,Millilitre,Bangalore Fresh Produce,31,45,50,28,20,100,,5,Yes
Minced Meat Premium Pack of 2 - PBNR,MEA-VADIL-019902552,8905701796433,Premium Minced Meat Premium Pack of 2 - PBNR with excellent quality and taste.,Meat & Seafood,Vadilal,Millilitre,Kolkata Trading Company,41,58,64,72,20,100,,5,Yes
Chicken Breast Economy 250g - 1X1O,MEA-PARLE-019941883,8901105225251,Quality Chicken Breast Economy 250g - 1X1O from Parle. Trusted by Indian families.,Meat & Seafood,Parle,Pack,Mumbai FMCG Distributors,41,59,65,28,20,100,,5,Yes
Fish Fillet Natural 200ml - PZ9I,MEA-AMUL-019975451,8908157734023,Quality Fish Fillet Natural 200ml - PZ9I from Amul. Trusted by Indian families.,Meat & Seafood,Amul,Dozen,Delhi Wholesale Market,40,57,63,67,20,100,,5,Yes
Fish Fillet Special 500g - P3PP,MEA-HALDI-020011571,8904734424007,Fresh Fish Fillet Special 500g - P3PP at best prices. Perfect for daily use.,Meat & Seafood,Haldiram,Pieces,Kolkata Trading Company,38,54,59,15,20,100,,5,Yes
Prawns Economy Pack of 5 - TNXV,MEA-PEDI-020045226,8903178758345,Fresh Prawns Economy Pack of 5 - TNXV at best prices. Perfect for daily use.,Meat & Seafood,Pedigree,Box,Mumbai FMCG Distributors,43,61,67,29,20,100,,5,Yes
Chicken Legs Special 200ml - 8WQR,MEA-HAVELL-020079553,8904861240225,Premium Chicken Legs Special 200ml - 8WQR with excellent quality and taste.,Meat & Seafood,Havells,Box,Chennai Spice House,31,45,50,69,20,100,,5,Yes
Rohu Fish Organic Pack of 5 - VTHX,MEA-MARICO-020112851,8909741841289,Quality Rohu Fish Organic Pack of 5 - VTHX from Marico. Trusted by Indian families.,Meat & Seafood,Marico,Box,Bangalore Fresh Produce,41,58,64,39,20,100,,5,Yes
Mutton Organic 1kg - SI8W,MEA-MOTHER-020144745,8903132741453,Quality Mutton Organic 1kg - SI8W from Mother Dairy. Trusted by Indian families.,Meat & Seafood,Mother Dairy,Millilitre,Kolkata Trading Company,35,50,55,56,20,100,,5,Yes
Rohu Fish 1kg - HIS9,MEA-NIRMA-020177195,8902604986459,Fresh Rohu Fish 1kg - HIS9 at best prices. Perfect for daily use.,Meat & Seafood,Nirma,Gram,Mumbai FMCG Distributors,40,57,63,49,20,100,,5,Yes
Pomfret Classic Family Pack - H6CR,MEA-BIKANO-020212781,8905526858643,Premium Pomfret Classic Family Pack - H6CR with excellent quality and taste.,Meat & Seafood,Bikano,Box,Ahmedabad Snack Mills,34,49,54,88,20,100,,5,Yes
Chicken Breast Classic 250g - ITZJ,MEA-HALDI-020246924,8907058250429,Quality Chicken Breast Classic 250g - ITZJ from Haldiram. Trusted by Indian families.,Meat & Seafood,Haldiram,Pack,Ahmedabad Snack Mills,34,49,54,61,20,100,,5,Yes
Eggs Natural 1L - AH8W,MEA-ITC-020279654,8909734791709,Premium Eggs Natural 1L - AH8W with excellent quality and taste.,Meat & Seafood,ITC,Gram,Chennai Spice House,33,47,52,60,20,100,,5,Yes
Chicken Legs Super 200ml - QTVP,MEA-GODREJ-020312238,8907175915667,Quality Chicken Legs Super 200ml - QTVP from Godrej. Trusted by Indian families.,Meat & Seafood,Godrej,Pieces,Ahmedabad Snack Mills,34,49,54,3,20,100,,5,Yes
Eggs Pack of 5 - DN6W,MEA-TATAS-020346913,8903261034677,Premium Eggs Pack of 5 - DN6W with excellent quality and taste.,Meat & Seafood,Tata Sampann,Kilogram,Delhi Wholesale Market,39,55,61,14,20,100,,5,Yes
Pomfret Deluxe 1kg - QLKW,MEA-PG-020379882,8901347518861,Quality Pomfret Deluxe 1kg - QLKW from Procter & Gamble. Trusted by Indian families.,Meat & Seafood,Procter & Gamble,Pack,Mumbai FMCG Distributors,46,66,73,63,20,100,,5,Yes
Pomfret Classic 500g - LKRV,MEA-EVER-020414457,8904513221522,Quality Pomfret Classic 500g - LKRV from Everest. Trusted by Indian families.,Meat & Seafood,Everest,Kilogram,Kolkata Trading Company,41,58,64,3,20,100,,5,Yes
Crab Classic Pack of 5 - 00EJ,MEA-HAVELL-020448714,8904304776237,Quality Crab Classic Pack of 5 - 00EJ from Havells. Trusted by Indian families.,Meat & Seafood,Havells,Gram,Chennai Spice House,34,49,54,39,20,100,,5,Yes
Crab Classic 500ml - MBUU,MEA-PG-020490239,8902527661404,Premium Crab Classic 500ml - MBUU with excellent quality and taste.,Meat & Seafood,Procter & Gamble,Pack,Hyderabad Dairy Co-op,39,55,61,42,20,100,,5,Yes
Crab Fresh Family Pack - BDGB,MEA-KISSAN-020525992,8903805138798,Quality Crab Fresh Family Pack - BDGB from Kissan. Trusted by Indian families.,Meat & Seafood,Kissan,Box,Pune Organic Supplies,41,58,64,42,20,100,,5,Yes
Prawns Natural 200ml - 1VZ5,MEA-AASHI-020562537,8909513925818,Premium Prawns Natural 200ml - 1VZ5 with excellent quality and taste.,Meat & Seafood,Aashirvaad,Litre,Pune Organic Supplies,47,67,74,77,20,100,,5,Yes
Rohu Fish Fresh 1L - O5A5,MEA-KELLO-020594586,8903714273017,Fresh Rohu Fish Fresh 1L - O5A5 at best prices. Perfect for daily use.,Meat & Seafood,Kelloggs,Gram,Mumbai FMCG Distributors,48,69,76,82,20,100,,5,Yes
Prawns Fresh 1kg - ASQK,MEA-MOTHER-020627720,8904670277199,Fresh Prawns Fresh 1kg - ASQK at best prices. Perfect for daily use.,Meat & Seafood,Mother Dairy,Millilitre,Bangalore Fresh Produce,50,71,78,84,20,100,,5,Yes
Fish Fillet Classic Pack of 5 - OB1Y,MEA-PEPSI-020661438,8907445280886,Premium Fish Fillet Classic Pack of 5 - OB1Y with excellent quality and taste.,Meat & Seafood,PepsiCo,Box,Kolkata Trading Company,47,67,74,58,20,100,,5,Yes
Fresh Chicken Classic 500ml - MIJP,MEA-PEPSI-020695382,8909624897284,Premium Fresh Chicken Classic 500ml - MIJP with excellent quality and taste.,Meat & Seafood,PepsiCo,Millilitre,Ahmedabad Snack Mills,37,53,58,35,20,100,,5,Yes
Chicken Legs Natural - 3Q3D,MEA-EVER-020731406,8903434896867,Quality Chicken Legs Natural - 3Q3D from Everest. Trusted by Indian families.,Meat & Seafood,Everest,Pieces,Pune Organic Supplies,36,52,57,57,20,100,,5,Yes
Tuna Classic Family Pack - XUHJ,MEA-JJ-020766791,8903845068947,Quality Tuna Classic Family Pack - XUHJ from Johnson & Johnson. Trusted by Indian families.,Meat & Seafood,Johnson & Johnson,Litre,Mumbai FMCG Distributors,31,45,50,82,20,100,,5,Yes
Prawns Super 500ml - LESK,MEA-TATAS-020804714,8905122521419,Quality Prawns Super 500ml - LESK from Tata Sampann. Trusted by Indian families.,Meat & Seafood,Tata Sampann,Litre,Kolkata Trading Company,28,40,44,34,20,100,,5,Yes
Tuna Fresh 200ml - XIQI,MEA-MARICO-020842361,8905933419814,Premium Tuna Fresh 200ml - XIQI with excellent quality and taste.,Meat & Seafood,Marico,Gram,Mumbai FMCG Distributors,45,64,70,61,20,100,,5,Yes
Fish 1kg - X6TD,MEA-GODREJ-020875248,8907109121331,Fresh Fish 1kg - X6TD at best prices. Perfect for daily use.,Meat & Seafood,Godrej,Litre,Delhi Wholesale Market,46,65,72,51,20,100,,5,Yes
Chicken Wings Deluxe Pack of 5 - AZJ2,MEA-BRIT-020907620,8906524851631,Quality Chicken Wings Deluxe Pack of 5 - AZJ2 from Britannia. Trusted by Indian families.,Meat & Seafood,Britannia,Dozen,Kolkata Trading Company,38,54,59,32,20,100,,5,Yes
Eggs Special 500ml - 7EPP,MEA-NEST-020941125,8907612898094,Fresh Eggs Special 500ml - 7EPP at best prices. Perfect for daily use.,Meat & Seafood,Nestle,Pack,Hyderabad Dairy Co-op,28,40,44,50,20,100,,5,Yes
Rohu Fish Organic Pack of 2 - KIYO,MEA-PATAN-020985242,8904096544679,Quality Rohu Fish Organic Pack of 2 - KIYO from Patanjali. Trusted by Indian families.,Meat & Seafood,Patanjali,Box,Kolkata Trading Company,46,66,73,36,20,100,,5,Yes
Pomfret 200ml - DWIK,MEA-MAGGI-021026140,8903733410482,Fresh Pomfret 200ml - DWIK at best prices. Perfect for daily use.,Meat & Seafood,Maggi,Dozen,Ahmedabad Snack Mills,34,48,53,46,20,100,,5,Yes
Minced Meat Pack of 5 - Z71A,MEA-MTR-021065781,8908771995245,Fresh Minced Meat Pack of 5 - Z71A at best prices. Perfect for daily use.,Meat & Seafood,MTR,Millilitre,Ahmedabad Snack Mills,34,48,53,27,20,100,,5,Yes
Prawns Fresh Pack of 5 - P4FT,MEA-AASHI-021098526,8909580459546,Premium Prawns Fresh Pack of 5 - P4FT with excellent quality and taste.,Meat & Seafood,Aashirvaad,Litre,Kolkata Trading Company,36,51,56,79,20,100,,5,Yes
Mutton Super - 8XXD,MEA-DABUR-021130987,8903957838466,Fresh Mutton Super - 8XXD at best prices. Perfect for daily use.,Meat & Seafood,Dabur,Millilitre,Mumbai FMCG Distributors,32,46,51,27,20,100,,5,Yes
Fresh Chicken Premium Pack of 5 - ACXA,MEA-COKE-021162598,8906214022555,Fresh Fresh Chicken Premium Pack of 5 - ACXA at best prices. Perfect for daily use.,Meat & Seafood,Coca Cola,Gram,Delhi Wholesale Market,31,45,50,95,20,100,,5,Yes
Chicken Legs 500ml - JEJY,MEA-TATAS-021194352,8904916181047,Premium Chicken Legs 500ml - JEJY with excellent quality and taste.,Meat & Seafood,Tata Sampann,Pack,Delhi Wholesale Market,34,49,54,49,20,100,,5,Yes
Fresh Chicken Premium 250g - 5SXN,MEA-MAGGI-021225667,8909342876071,Fresh Fresh Chicken Premium 250g - 5SXN at best prices. Perfect for daily use.,Meat & Seafood,Maggi,Gram,Chennai Spice House,41,59,65,28,20,100,,5,Yes
Fresh Chicken 500ml - EP9E,MEA-HAVELL-021255770,8906198074089,Quality Fresh Chicken 500ml - EP9E from Havells. Trusted by Indian families.,Meat & Seafood,Havells,Gram,Pune Organic Supplies,39,55,61,57,20,100,,5,Yes
Mutton Super 500ml - MXVL,MEA-JJ-021288673,8907114420764,Fresh Mutton Super 500ml - MXVL at best prices. Perfect for daily use.,Meat & Seafood,Johnson & Johnson,Kilogram,Ahmedabad Snack Mills,34,48,53,42,20,100,,5,Yes
Chicken Wings Family Pack - NKGQ,MEA-AASHI-021320818,8908622545929,Fresh Chicken Wings Family Pack - NKGQ at best prices. Perfect for daily use.,Meat & Seafood,Aashirvaad,Kilogram,Hyderabad Dairy Co-op,34,49,54,32,20,100,,5,Yes
Salmon Natural 250g - K3BW,MEA-TATAS-021351865,8904166211133,Quality Salmon Natural 250g - K3BW from Tata Sampann. Trusted by Indian families.,Meat & Seafood,Tata Sampann,Kilogram,Ahmedabad Snack Mills,33,47,52,154,20,100,,5,Yes
Fresh Chicken 1L - DUZJ,MEA-KELLO-021386846,8904729381525,Premium Fresh Chicken 1L - DUZJ with excellent quality and taste.,Meat & Seafood,Kelloggs,Pieces,Hyderabad Dairy Co-op,28,40,44,12,20,100,,5,Yes
Fresh Chicken Fresh Pack of 2 - ZPXP,MEA-BAJAJ-021420910,8904696449149,Quality Fresh Chicken Fresh Pack of 2 - ZPXP from Bajaj. Trusted by Indian families.,Meat & Seafood,Bajaj,Litre,Kolkata Trading Company,31,44,48,52,20,100,,5,Yes
Rohu Fish Classic Pack of 2 - 27OX,MEA-ITC-021452560,8907559610376,Quality Rohu Fish Classic Pack of 2 - 27OX from ITC. Trusted by Indian families.,Meat & Seafood,ITC,Kilogram,Delhi Wholesale Market,30,43,47,6,20,100,,5,Yes
Mutton Classic 250g - JBZJ,MEA-MOTHER-021486976,8905041521635,Fresh Mutton Classic 250g - JBZJ at best prices. Perfect for daily use.,Meat & Seafood,Mother Dairy,Kilogram,Bangalore Fresh Produce,38,54,59,93,20,100,,5,Yes
Mutton Special 200ml - XFIL,MEA-DABUR-021519537,8902085932845,Fresh Mutton Special 200ml - XFIL at best prices. Perfect for daily use.,Meat & Seafood,Dabur,Dozen,Mumbai FMCG Distributors,57,82,90,45,20,100,,5,Yes
Crab 1L - YVFW,MEA-GODREJ-021553476,8902729533274,Quality Crab 1L - YVFW from Godrej. Trusted by Indian families.,Meat & Seafood,Godrej,Pack,Mumbai FMCG Distributors,47,67,74,7,20,100,,5,Yes
Salmon Natural Pack of 2 - BNGL,MEA-AASHI-021585588,8909962161158,Quality Salmon Natural Pack of 2 - BNGL from Aashirvaad. Trusted by Indian families.,Meat & Seafood,Aashirvaad,Kilogram,Pune Organic Supplies,35,50,55,75,20,100,,5,Yes
Minced Meat Natural - 2BKS,MEA-COKE-021620589,8909673549245,Premium Minced Meat Natural - 2BKS with excellent quality and taste.,Meat & Seafood,Coca Cola,Box,Bangalore Fresh Produce,38,54,59,42,20,100,,5,Yes
Rohu Fish Economy 200ml - LDV0,MEA-BAJAJ-021652651,8904873467311,Quality Rohu Fish Economy 200ml - LDV0 from Bajaj. Trusted by Indian families.,Meat & Seafood,Bajaj,Dozen,Kolkata Trading Company,48,69,76,24,20,100,,5,Yes
Chicken Legs Super 200ml - HNP2,MEA-BAJAJ-021686740,8902938166348,Quality Chicken Legs Super 200ml - HNP2 from Bajaj. Trusted by Indian families.,Meat & Seafood,Bajaj,Pack,Ahmedabad Snack Mills,41,59,65,68,20,100,,5,Yes
Salmon Organic 500g - HFUR,MEA-PARLE-021720594,8902815324173,Quality Salmon Organic 500g - HFUR from Parle. Trusted by Indian families.,Meat & Seafood,Parle,Dozen,Mumbai FMCG Distributors,28,40,44,83,20,100,,5,Yes
Fish Fillet Special Pack of 2 - A7CQ,MEA-HIMAL-021754468,8909237827573,Quality Fish Fillet Special Pack of 2 - A7CQ from Himalaya. Trusted by Indian families.,Meat & Seafood,Himalaya,Pieces,Mumbai FMCG Distributors,51,73,80,35,20,100,,5,Yes
Prawns Organic 1kg - BUYX,MEA-FORT-021787836,8907528968487,Fresh Prawns Organic 1kg - BUYX at best prices. Perfect for daily use.,Meat & Seafood,Fortune,Kilogram,Kolkata Trading Company,42,60,66,24,20,100,,5,Yes
Tuna Special 1L - PIZR,MEA-GODREJ-021820646,8908287953565,Premium Tuna Special 1L - PIZR with excellent quality and taste.,Meat & Seafood,Godrej,Litre,Hyderabad Dairy Co-op,34,49,54,48,20,100,,5,Yes
Eggs Classic - AUBL,MEA-BIKANO-021853601,8904546410656,Quality Eggs Classic - AUBL from Bikano. Trusted by Indian families.,Meat & Seafood,Bikano,Pack,Pune Organic Supplies,50,71,78,57,20,100,,5,Yes
Pomfret Organic 1L - LSVG,MEA-DABUR-021887997,8902268284813,Premium Pomfret Organic 1L - LSVG with excellent quality and taste.,Meat & Seafood,Dabur,Dozen,Ahmedabad Snack Mills,39,55,61,31,20,100,,5,Yes
Rohu Fish Natural 250g - QL2S,MEA-BIKANO-021920121,8901974835740,Premium Rohu Fish Natural 250g - QL2S with excellent quality and taste.,Meat & Seafood,Bikano,Dozen,Pune Organic Supplies,39,56,62,116,20,100,,5,Yes
Crab Special Pack of 2 - A1CR,MEA-TATAS-021954761,8909933135038,Fresh Crab Special Pack of 2 - A1CR at best prices. Perfect for daily use.,Meat & Seafood,Tata Sampann,Dozen,Chennai Spice House,36,52,57,38,20,100,,5,Yes
Mutton 250g - KYDQ,MEA-NIRMA-021986255,8904433396120,Premium Mutton 250g - KYDQ with excellent quality and taste.,Meat & Seafood,Nirma,Litre,Pune Organic Supplies,39,56,62,82,20,100,,5,Yes
Salmon Premium 500ml - R09J,MEA-HIMAL-022017269,8902962657780,Fresh Salmon Premium 500ml - R09J at best prices. Perfect for daily use.,Meat & Seafood,Himalaya,Kilogram,Delhi Wholesale Market,53,75,83,46,20,100,,5,Yes
Salmon Premium 200ml - BUX1,MEA-COKE-022052602,8906432527329,Premium Salmon Premium 200ml - BUX1 with excellent quality and taste.,Meat & Seafood,Coca Cola,Pieces,Mumbai FMCG Distributors,33,47,52,-7,20,100,,5,Yes
Rohu Fish Super 1kg - XU52,MEA-JJ-022083475,8903011337102,Premium Rohu Fish Super 1kg - XU52 with excellent quality and taste.,Meat & Seafood,Johnson & Johnson,Millilitre,Delhi Wholesale Market,31,44,48,29,20,100,,5,Yes
Pomfret Premium - S1OW,MEA-HAVELL-022116601,8902454089382,Premium Pomfret Premium - S1OW with excellent quality and taste.,Meat & Seafood,Havells,Pack,Pune Organic Supplies,34,49,54,29,20,100,,5,Yes
Crab Organic Family Pack - QRDZ,MEA-DABUR-022148739,8903842521084,Quality Crab Organic Family Pack - QRDZ from Dabur. Trusted by Indian families.,Meat & Seafood,Dabur,Kilogram,Chennai Spice House,41,59,65,35,20,100,,5,Yes
